sym,label,resource,parent
3dcam,3d Sensing Cameras,https://spectrum.ieee.org/transportation/sensors/3-types-of-3d-sensing-for-sphones-and-selfdriving-cars,
3dpBio,3D Bioprinting Systems,https://en.wikipedia.org/wiki/3D_bioprinting,
3dpBase,3D Printing,https://en.wikipedia.org/wiki/3D_printing,
3dpComm,Consumer 3D Printing,https://en.wikipedia.org/wiki/3D_printing,3dpBase
3dpComp,Enterprise 3D Printing,https://en.wikipedia.org/wiki/3D_printing,3dpBase
3dDisplay,3D Flat-Panel TVs and Displays,https://en.wikipedia.org/wiki/3D_display#Stereoscopic_displays,
3dpNano,Nanoscale 3D Printing,https://www.spacedaily.com/reports/Scientists_can_now_3D_print_nanoscale_metal_structures_999.html,
3dpOrgan,3D Bioprinting Systems for Organ Transplant,https://edition.cnn.com/2022/06/10/health/3d-printed-organs-bioprinting-life-itself-wellness-scn/index.html,3dpBio
3dScan,3D Scanners,https://en.wikipedia.org/wiki/3D_scanning,
4dprint,4D Printing,https://en.wikipedia.org/wiki/4D_printing,
4g,4G,https://en.wikipedia.org/wiki/4G,
5g,5G,https://en.wikipedia.org/wiki/5G,
5GPriv,Private 5G,https://www.ericsson.com/en/reports-and-papers/white-papers/private-5g-networks,
activeMetaMgmt,Active Metadata Management,https://www.informatica.com/blogs/active-metadata-what-it-is-and-why-it-matters.html,
actStream,Activity Streams,https://en.wikipedia.org/wiki/Activity_Streams_(format),
adml,Adaptive ML,https://www.turing.ac.uk/research/research-projects/adaptive-machine-learning-changing-environments,
affective,Affective Computing,https://www.bbvaopenmind.com/en/technology/digital-world/what-is-affective-computing/,
agi,Artificial General Intelligence,https://en.wikipedia.org/wiki/Artificial_general_intelligence,
advAnalSsDeliver,Advanced Analytics with Self-Service Delivery,???,
aiBase,Machine Learning,https://en.wikipedia.org/wiki/Machine_learning,
aiCausal,Causal AI,https://www.causalens.com/why-causal-ai/,
aiCode,Machine Learning Code Generation,https://paperswithcode.com/task/code-generation/codeless,
aiComp,Composite AI,https://blackswantechnologies.ai/media-room/composite-ai/,
aiConvo,Conversational AI Platform,https://uxmag.com/articles/a-six-minute-breakdown-of-gartner%E2%80%99s-top-conversational-ai-platforms,
aiDev,AI-Augmented Development,https://www.thoughtworks.com/insights/blog/augmenting-software-development-artificial-intelligence,
aiEdge,Edge AI,https://en.wikipedia.org/wiki/Edge_computing,edgeComp
aiEmbed,Embedded AI,https://www.softwareadvisoryservice.com/en/blog/does-your-software-need-embedded-ai/,
aiEmo,Emotion AI,https://www.theguardian.com/technology/2019/aug/17/emotion-ai-artificial-intelligence-mood-realeyes-amazon-facebook-emotient,
aiGen,Generative AI,https://developer.ibm.com/technologies/artificial-intelligence/blogs/what-is-generative-ai-and-how-much-power-does-it-have/,
aiGenDesign,Generative Design AI,https://www.accenture.com/us-en/blogs/industry-digitization/how-ai-driven-generative-design-disrupts-traditional-value-chains,
aiDesign,AI-Augmented Design,https://www.tandfonline.com/doi/abs/10.1080/07370024.2020.1733576,
aiExpl,Explainable AI,https://en.wikipedia.org/wiki/Explainable_artificial_intelligence,
aiInno,AI-Driven Innovation,https://halshs.archives-ouvertes.fr/halshs-01923572/document,
aiPaas,AI PaaS,https://medium.com/@jrodthoughts/which-paas-is-winning-the-machine-learning-and-artificial-intelligence-race-2640e1e96eed,
aiPers,Personification,https://medium.com/@alexasteinbrueck/personified-machines-29875268f151,
aiPhys,Physics-Informed AI,http://sites.nd.edu/jianxun-wang/research/physics-constrained-machine-learning/,
aiResp,Responsible AI,https://www.accenture.com/_acnmedia/PDF-92/Accenture-AFS-Responsible-AI.pdf,
aiSelfSup,Self-Supervised Learning,https://ai.stackexchange.com/questions/10623/what-is-self-supervised-learning-in-machine-learning,
aiTransfer,Transfer learning,https://en.wikipedia.org/wiki/Transfer_learning,
aleri,Complex-Event Processing,https://en.wikipedia.org/wiki/Complex_event_processing,
ambientDisp,Ambient and Glanceable Displays,https://en.wikipedia.org/wiki/Ambient_device,
analCont,Content Analytics,https://www.parse.ly/glossary/content-analytics,
analEdge,Edge Analytics,https://medium.com/sciforce/can-edge-analytics-become-a-game-changer-9cc9395d2727,
analGraph,Graph Analytics,https://www.sciencedirect.com/topics/computer-science/graph-analytics,
analInMem,In-memory Analytics,https://www.intel.co.uk/content/www/uk/en/analytics/in-memory-analytics.html,
analPers,Personal Analytics,https://www.cmswire.com/digital-workplace/enterprise-personal-analytics-the-solution-to-lagging-productivity/,
analPred,Predictive Analytics,https://en.wikipedia.org/wiki/Predictive_analytics,
analPresc,Prescriptive Analytics,https://en.wikipedia.org/wiki/Prescriptive_analytics,
analSpeech,Audio Mining/Speech Analytics,https://en.wikipedia.org/wiki/Audio_mining,
analSoc,Social Analytics,https://sites.google.com/site/week12socialanalytics/what-is-social-analytics,
analSocNet,Social Network Analysis,https://en.wikipedia.org/wiki/Social_network_analysis,
analText,Text Analytics,https://www.tibco.com/reference-center/what-is-text-analytics,
analVideoSupport,Video Analytics for Customer Service,https://www.azena.com/insights/how-smart-video-analytics-helps-retailers-survive-in-tough-times,
appleWatch,Wearables,https://en.wikipedia.org/wiki/Wearable_computer,
appStore,Application Stores,https://en.wikipedia.org/wiki/App_store,
ar,Augmented Reality,https://en.wikipedia.org/wiki/Augmented_reality,
arcloud,AR Cloud,https://www.foundry.com/insights/vr-ar-mr/ar-cloud-immersive-technology,ar
augDisc,Augmented Data Discovery,https://www.explorium.ai/blog/what-is-augmented-data-discovery-with-explorium/,
augint,Augmented Intelligence,https://en.wikipedia.org/wiki/Intelligence_amplification,
autoCensor,Automatic Content Recognition,https://en.wikipedia.org/wiki/Automatic_content_recognition,
authOrig,Authenticated Provenance,https://www.gartner.com/smarterwithgartner/5-emerging-technologies-explained-by-gartner-experts/,
autoMobileRobots,Autonomous Mobile Robots,https://www.forbes.com/sites/stevebanker/2019/03/11/the-autonomous-mobile-robot-market-is-taking-off-like-a-rocket-ship/?sh=829196c1603a,
autoSys,Autonomic Systems,https://www.zdnet.com/article/generative-ai-autonomic-systems-hyperautomation-and-more-top-gartner-list-of-top-tech-trends-in-2022/,
behaviorEco,Behavioral Economics,https://en.wikipedia.org/wiki/Behavioral_economics,
bigData,Big Data,https://en.wikipedia.org/wiki/Big_data,
bioacoustic,Bioacoustic Sensing,https://www.predictiveanalyticstoday.com/what-is-bioacoustic-sensing/,
biometricAuth,Biometric Authentication Methods,https://towardsdatascience.com/biometric-authentication-methods-61c96666883a,
biochip,Biochips,https://en.wikipedia.org/wiki/Biochip,
biodegSensor,Biodegradable Sensors,https://www.theengin,eer.co.uk/biodegradable-sensor-diagnosis/
biotech,Biotech - Cultured or Artificial Tissue,https://en.wikipedia.org/wiki/Tissue_engineering,
blockchain,Blockchain,https://en.wikipedia.org/wiki/Blockchain,
blockchainDataSec,Blockchain for Data Security,https://www2.deloitte.com/content/dam/Deloitte/us/Documents/financial-services/us-blockchain-and-cyber-security-lets-discuss.pdf,blockchain
brainComputerIf,Brain-Computer Interface,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface,
brainComputerIf2,Bidirectional Brain-Machine Interface,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface,
broadbandOnPower,Broadband Over Power Lines,https://en.wikipedia.org/wiki/Broadband_over_power_lines,
byod,Bring Your Own Device,https://en.wikipedia.org/wiki/Bring_your_own_device,
byoid,Bring Your Own Identity,https://www.ubisecure.com/education/bring-your-own-identity-byoi/,
carBigBrother,Consumer Telematics,https://infotechlead.com/iot/potential-of-consumer-telematics-is-huge-indeed-explore-the-aspects-68578,
carbonNano,Carbon Nanotube,https://en.wikipedia.org/wiki/Carbon_nanotube,
carbonTrans,Carbon-Based Transistors,https://news.mit.edu/2020/carbon-nanotube-transistors-factory-0601,
chatBot,Conversational User Interfaces,https://www.xenonstack.com/insights/principles-for-conversational-ui,
citizenDataSci,Citizen Data Science,https://www.simplilearn.com/citizen-data-scientists-article,
citizenTwin,Citizen Twin,https://www.gartner.com/en/newsroom/press-releases/2020-08-18-gartner-identifies-five-emerging-trends-that-will-drive-technology-innovation-for-the-next-decade,digitalTwin
cloudBase,Cloud Computing,https://en.wikipedia.org/wiki/Cloud_computing,
cloudDataEco,Cloud Data Ecosystems,https://www.dbta.com/Editorial/News-Flashes/Challenges-of-Managing-a-Cloud-Data-Ecosystem-149054.aspx,
cloudHybrid,Hybrid Cloud Computing,https://azure.microsoft.com/en-gb/resources/cloud-computing-dictionary/what-is-hybrid-cloud-computing/,
cloudInd,Industry Cloud Platforms,https://venturebeat.com/cloud/industry-clouds-could-be-the-next-big-thing/,
cloudPriv,Private Cloud Computing,https://en.wikipedia.org/wiki/Cloud_computing#Private_cloud,
cloudSust,Cloud Sustainability,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/cloud-sustainability.html,
cloudWebP,Cloud/Web Platforms,???,
cognitive,Cognitive Computing,https://en.wikipedia.org/wiki/Cognitive_computing,
cognitiveAdv,Cognitive Expert Advisors,???,
collInt,Collective Intelligence,https://en.wikipedia.org/wiki/Collective_intelligence,
compApp,Composable Applications,https://www.gocertify.com/articles/what-do-we-mean-when-we-say-composable-applications,
compBlog,Corporate Blogging,https://en.wikipedia.org/wiki/Corporate_blog,
compComp,Composable Enterprise,https://www.linkedin.com/pulse/composable-enterprise-cameron-smith/,
compNet,Composable Networks,https://www.networkworld.com/article/3266106/what-is-composable-infrastructure.html,
computeStorage,Computational Storage,https://www.arm.com/blogs/blueprint/computational-storage,
connectedHome,Connected Home,https://www.moneysupermarket.com/home-insurance/connected-homes/,
consIT,Consumerization,https://en.wikipedia.org/wiki/Consumerization_of_information_technology,
contextArch,Context Delivery Architecture,https://www.techopedia.com/definition/30995/context-delivery-architecture-coda,
contextBroker,Context Brokering,https://www.linkedin.com/pulse/what-context-brokers-alvaro-martin/,
contextEnh,Context-Enriched Services,???,
crowdSource,Crowdsourcing,https://en.wikipedia.org/wiki/Crowdsourcing,
